Sl No,Phase,Task ID,Task Name,Task Description,Assigned Developer,Application/Module Name,Recipe Name (if applicable),Expected Effort (Hrs),Status,Start Date,End Date,No of Files Changed,Remarks/Blocker
1,Setup,TASK-01,Generate Application analysis report,Using the shared MD file, generate the Application analysis report,,,,2,Not Started,,,,
2,Setup,TASK-02,New branch creation,Create a new migration branch from the base/main branch for the assigned application,,,,0.5,Not Started,,,,
3,Setup,TASK-03,Local setup and build,Setup the application locally and perform a successful build before starting migration,,,,2,Not Started,,,,
4,Baseline,TASK-04,Execute testcases before migration,Execute all existing testcases before applying migration changes and capture the baseline report,,,,2,Not Started,,,,
5,Migration Execution,TASK-05,Run Code Transporter tool,Run the Code Transporter tool to apply/identify the recommended recipes report one by one,,,,1,Not Started,,,,
6,Migration Execution,TASK-06,Validate build after recipe,After applying one recipe with Code Transporter tool - validate that the changes do not break the build,,,,1,Not Started,,,,
7,Migration Execution,TASK-07,Validate testcases after recipe,After applying one recipe with Code Transporter tool - validate that the changes do not break existing testcases,,,,1,Not Started,,,,
8,Migration Execution,TASK-08,Identify pattern of changes,Identify and document the pattern of code changes introduced by the applied recipe,,,,1,Not Started,,,,
9,Migration Execution,TASK-09,Summarize pattern and file count,Summarize the change pattern and record number of files changed for the recipe,,,,0.5,Not Started,,,,
10,Migration Execution,TASK-10,Repeat for all recipes,Repeat Task-05 to Task-09 for all recipes identified from the Blueprint,,,,Varies by no of recipes,Not Started,,,,
11,CI Setup,TASK-11,Create Docker/Pipeline/Helm/CI config,Create Dockerfile, CI Pipeline, Helm charts and configuration files required for CI,,,,8,Not Started,,,,
12,Quality Fixes,TASK-12,Validate Sonar report and remediate,Validate the SonarQube report and perform remediation fixes for identified issues,,,,4,Not Started,,,,
13,Quality Fixes,TASK-13,Validate Snyk report and remediate,Validate the Snyk security report and perform remediation fixes for identified vulnerabilities,,,,4,Not Started,,,,
14,Quality Fixes,TASK-14,Validate Blueprint analyzer fixes,Validate and analyze fixes from the Blueprint tools such as RHMTA, AMA and MavenParser,,,,4,Not Started,,,,
15,Validation,TASK-15,Generate post-migration testcase report,Generate testcase report after all migration changes are applied,,,,2,Not Started,,,,
16,Validation,TASK-16,Compare with original report,Validate the post-migration testcase report against the original baseline report,,,,1,Not Started,,,,
17,Deployment,TASK-17,Create CD Manifest (LSE),Create Manifest for CD pipeline in LSE if needed,,,,2,Not Started,,,,
18,Deployment,TASK-18,Deploy application via CD pipeline,Deploy the application using the CD pipeline,,,,2,Not Started,,,,
19,Post-Deployment,TASK-19,Sanity testing and fixes,Perform sanity testing post deployment and apply fixes if needed,,,,3,Not Started,,,,
